ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET NUMBER,ADDRESS STREET SUFFIX,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",CURRENT ACTIVITY,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS BUILDING OPEN OR BOARDED?,IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS THE BUILDING VACANT DUE TO FIRE?,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",MOST RECENT ACTION,NUMBER OF POTHOLES FILLED ON BLOCK,SSA,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,address,community_area,complete_date,create_date,lat,loc,long,police_district,sanitation_violation,srn,status,type_service,ward,x_coord,y_coord,zip,community,time_to_complete,FIPS
W,BELMONT,4454.0,AVE,True,,REAR DOOR,Open,Vacant,,True,Front,,,,,,,16.0,,2017-02-02,41.93893955223497,"(41.93893955223497, -87.73869395669567)",-87.73869395669567,17.0,,17-00616016,,Vacant/Abandoned Building,30.0,1146035.30458246,1920900.54097696,60641.0,IRVING PARK,,170311612002
N,KEYSTONE,4352.0,AVE,False,,UNKNOWN,Open,Vacant,,False,Front,,,,,,,16.0,,2017-02-16,41.95996164741955,"(41.959961647419554, -87.72939562481783)",-87.72939562481783,17.0,,17-00865961,,Vacant/Abandoned Building,39.0,1148511.160069,1928578.73671022,60641.0,IRVING PARK,,170311603001
N,KENNETH,3313.0,AVE,False,,"OPEN GROUND LEVEL REAR PORCH WINDOW WITH ACCESS TO BASEMENT CATS OBSERVED EXITING BUILDING THROUGH OPEN WINDOW, PLYWOOD REMOVED FROM PREVIOUS BOARD UP, GARAGE HAS ROTTING/MISSING SOFFIT/FASCIA",Open,Vacant,,False,Front,,,,,,,16.0,,2017-03-07,41.941006359051315,"(41.94100635905131, -87.73832602568166)",-87.73832602568164,17.0,,17-01264020,,Vacant/Abandoned Building,30.0,1146130.18147295,1921654.38438147,60641.0,IRVING PARK,,170311612002
N,RICHMOND,4049.0,ST,False,,,Open,Vacant,,False,Front,,,,,,,16.0,,2017-03-20,41.95485311120806,"(41.95485311120806, -87.7019332946735)",-87.7019332946735,17.0,,17-01526944,,Vacant/Abandoned Building,33.0,1155994.21187877,1926771.00831215,60618.0,IRVING PARK,,170311606021
N,MOZART,4014.0,ST,False,,,Open,Vacant,,False,Front,,,,,,,16.0,,2017-03-21,41.95422385518205,"(41.95422385518205, -87.69947155197438)",-87.69947155197437,17.0,,17-01556700,,Vacant/Abandoned Building,33.0,1156665.51810826,1926546.64840253,60618.0,IRVING PARK,,170311606021
,,,,,,,,,,,,,,,,,4240 N KEELER AVE,16.0,2017-01-03,2017-01-02,41.95798262337296,"(41.95798262337295, -87.73260547955365)",-87.73260547955365,17.0,Garbage in yard,17-00023515,Completed,Sanitation Code Violation,39.0,1147643.18428477,1927851.43699867,60641.0,IRVING PARK,1.0,170311603003
,,,,,,,,,,,,,,,,,3407 N KARLOV AVE,16.0,2017-01-03,2017-01-02,41.9433546047366,"(41.94335460473659, -87.72913945342785)",-87.72913945342785,17.0,Garbage in alley,17-00033254,Completed,Sanitation Code Violation,30.0,1148623.49740018,1922527.57278489,60641.0,IRVING PARK,1.0,170311613002
,,,,,,,,,,,,,,,,,4230 N KIMBALL AVE,16.0,2017-01-04,2017-01-03,41.95842049480589,"(41.95842049480588, -87.7130563734635)",-87.7130563734635,17.0,Garbage in alley,17-00042627,Completed,Sanitation Code Violation,35.0,1152959.25232148,1928048.88000988,60618.0,IRVING PARK,1.0,170311605012
,,,,,,,,,,,,,,,,,4013 N MONTICELLO AVE,16.0,2017-01-06,2017-01-03,41.95397414232689,"(41.95397414232689, -87.71908684681729)",-87.7190868468173,17.0,Other,17-00044098,Completed,Sanitation Code Violation,45.0,1151330.62941382,1926416.79960274,60618.0,IRVING PARK,3.0,170311604002
,,,,,,,,,,,,,,,,,3917 N TROY ST,16.0,2017-01-10,2017-01-04,41.9524330205051,"(41.95243302050509, -87.70675324110807)",-87.70675324110806,17.0,Garbage in yard,17-00070671,Completed,Sanitation Code Violation,33.0,1154689.60252173,1925879.49689042,60618.0,IRVING PARK,6.0,170311607005
,,,,,,,,,,,,,,,,,3999 W IRVING PARK RD,16.0,2017-01-06,2017-01-05,41.953647788034786,"(41.95364778803479, -87.72761716373047)",-87.72761716373047,17.0,Other,17-00084060,Completed,Sanitation Code Violation,45.0,1149011.13677118,1926281.35989102,60618.0,IRVING PARK,1.0,170311609002
,,,,,,,,,,,,,,,,,3420 W GRACE ST,16.0,2017-01-09,2017-01-05,41.95020404530221,"(41.9502040453022, -87.7136484784506)",-87.71364847845058,17.0,Garbage in alley,17-00088596,Completed,Sanitation Code Violation,35.0,1152819.85487875,1925053.61422577,60618.0,IRVING PARK,4.0,170311608003
,,,,,,,,,,,,,,,,,4340 N SPAULDING AVE,16.0,2017-01-10,2017-01-05,41.96038417507217,"(41.96038417507217, -87.71066960910046)",-87.71066960910045,17.0,Other,17-00087235,Completed,Sanitation Code Violation,33.0,1153603.2319792,1928769.16012628,60618.0,IRVING PARK,5.0,170311605011
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-01-12,2017-01-05,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00090964,Completed - Dup,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,7.0,170311606021
,,,,,,,,,,,,,,,,,4048 N MOZART ST,16.0,2017-01-12,2017-01-05,41.9548460781068,"(41.9548460781068, -87.69949148880588)",-87.69949148880586,17.0,Overflowing carts,17-00090963,Completed,Sanitation Code Violation,33.0,1156658.41810826,1926773.34840253,60618.0,IRVING PARK,7.0,170311606021
,,,,,,,,,,,,,,,,,4049 N RICHMOND ST,16.0,2017-01-12,2017-01-09,41.95485311120806,"(41.95485311120806, -87.7019332946735)",-87.7019332946735,17.0,Garbage in yard,17-00138650,Completed,Sanitation Code Violation,33.0,1155994.21187877,1926771.00831215,60618.0,IRVING PARK,3.0,170311606021
