model_type,clf,parameters,auc-roc,p_at_5,p_at_10,p_at_20,run_time
RF,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.8511194307693979,0.4688,0.3568,0.2372,0.699224
RF,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8515289829268854,0.47146666666666665,0.3589333333333333,0.23853333333333335,4.463762
RF,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.8488064138987202,0.47626666666666667,0.35333333333333333,0.23373333333333332,0.673919
RF,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8524899008754714,0.4709333333333333,0.36,0.24106666666666668,4.385085
RF,RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.8504181188242339,0.4672,0.3544,0.23693333333333333,0.673357
RF,RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.852172996547689,0.46986666666666665,0.35973333333333335,0.23866666666666667,4.281612
RF,RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.8489653069485613,0.47253333333333336,0.3549333333333333,0.2376,0.567954
RF,RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8529669001587425,0.47573333333333334,0.35733333333333334,0.23973333333333333,4.415801
RF,RF,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.774295239315758,0.4416,0.38853333333333334,0.24853333333333333,1.388163
RF,RF,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.8318752139771158,0.4533333333333333,0.348,0.23986666666666667,12.029154
RF,RF,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.817330369636197,0.44266666666666665,0.33226666666666665,0.22306666666666666,1.29977
RF,RF,"{'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.8422086314775428,0.46826666666666666,0.34933333333333333,0.2384,11.49505
RF,RF,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.7744724080710952,0.44853333333333334,0.3872,0.24733333333333332,1.304583
RF,RF,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.8360371043325207,0.46186666666666665,0.34773333333333334,0.2388,11.668294
RF,RF,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.8099313542260704,0.44106666666666666,0.328,0.21973333333333334,1.293005
RF,RF,"{'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.8438158264486886,0.46186666666666665,0.35146666666666665,0.23653333333333335,11.381635
DT,DT,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2}",0.603951538894717,1.0,0.5290666666666667,0.26453333333333334,0.046497
DT,DT,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5}",0.6190091981839183,0.3722666666666667,0.6792,0.3396,0.050838
DT,DT,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6532227173511851,0.464,0.6725333333333333,0.3396,0.037189
DT,DT,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2}",0.6673684503878791,0.6357333333333334,0.3178666666666667,0.3396,0.035693
DT,DT,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5}",0.6997230876785339,0.7594666666666666,0.3797333333333333,0.256,0.062779
DT,DT,"{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10}",0.6532227173511851,0.464,0.6725333333333333,0.3396,0.03552
DT,DT,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2}",0.8035570925569904,0.5034666666666666,0.3453333333333333,0.21813333333333335,0.094357
DT,DT,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5}",0.8191271792641487,0.4864,0.3872,0.224,0.106211
DT,DT,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10}",0.8017529030037094,0.4528,0.34986666666666666,0.2208,0.099153
DT,DT,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2}",0.809671596580347,0.47946666666666665,0.39226666666666665,0.24293333333333333,0.104725
DT,DT,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5}",0.8205230634966416,0.43466666666666665,0.3584,0.22586666666666666,0.117241
DT,DT,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10}",0.7699651495663182,0.4901333333333333,0.33493333333333336,0.22306666666666666,0.116454
DT,DT,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2}",0.8119706567429249,0.4496,0.33813333333333334,0.2456,0.181635
DT,DT,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5}",0.8221608059669245,0.45386666666666664,0.3416,0.22893333333333332,0.172845
DT,DT,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10}",0.8171912294001937,0.44426666666666664,0.3424,0.23466666666666666,0.160286
DT,DT,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2}",0.8100428393994242,0.43946666666666667,0.33813333333333334,0.22413333333333332,0.219107
DT,DT,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5}",0.8254298096032059,0.44426666666666664,0.33653333333333335,0.22893333333333332,0.219047
DT,DT,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10}",0.8279764005489183,0.43466666666666665,0.3466666666666667,0.23026666666666668,0.175878
DT,DT,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2}",0.5926546760740158,0.33013333333333333,0.24453333333333332,0.14826666666666666,0.328448
DT,DT,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5}",0.6188767807566055,0.34186666666666665,0.25706666666666667,0.16266666666666665,0.344355
DT,DT,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6888738223837988,0.34613333333333335,0.2848,0.18746666666666667,0.267251
DT,DT,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2}",0.6178791597547262,0.33013333333333333,0.24693333333333334,0.15746666666666667,0.309203
DT,DT,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5}",0.625843334788987,0.3616,0.26426666666666665,0.16253333333333334,0.28758
DT,DT,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10}",0.6814408615637101,0.34826666666666667,0.28426666666666667,0.1876,0.280427
DT,DT,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2}",0.6094009004699574,0.3685333333333333,0.4848,0.3396,0.330404
DT,DT,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 5}",0.6350030577265958,0.3002666666666667,0.23493333333333333,0.3396,0.33427
DT,DT,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10}",0.6708096298163182,0.32426666666666665,0.25306666666666666,0.3396,0.353147
DT,DT,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2}",0.6163043151411883,0.3888,0.47413333333333335,0.3396,0.31911
DT,DT,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 5}",0.6394823522677393,0.30293333333333333,0.26826666666666665,0.3396,0.368815
DT,DT,"{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10}",0.6756990718513911,0.3376,0.2594666666666667,0.3396,0.33971
DT,DT,"{'criterion': 'gini', 'max_depth': 100, 'max_features': 'sqrt', 'min_samples_split': 2}",0.6130848311408497,0.37653333333333333,0.4981333333333333,0.3396,0.301268
